Designator,Mid X,Mid Y,Rotation,Layer
A1,149.4,-25.9675,0.0,top
D1,9.595,-33.5,0.0,top
D10,66.285,-33.0,0.0,top
D11,85.285,-41.5,0.0,top
D12,104.595,-41.5,0.0,top
D13,9.095,-71.5,0.0,top
D14,28.095,-71.5,0.0,top
D15,47.095,-57.0,0.0,top
D16,66.095,-52.0,0.0,top
D17,85.285,-60.5,0.0,top
D18,104.595,-60.5,0.0,top
D19,191.485,-22.5,0.0,bottom
D2,28.595,-33.5,0.0,top
D20,191.485,-41.5,0.0,bottom
D21,191.675,-60.5,0.0,bottom
D22,210.485,-22.5,0.0,bottom
D23,210.485,-41.5,0.0,bottom
D24,210.485,-60.0,0.0,bottom
D25,229.485,-14.0,0.0,bottom
D26,229.485,-33.0,0.0,bottom
D27,229.485,-52.0,0.0,bottom
D28,248.485,-19.0,0.0,bottom
D29,248.485,-38.0,0.0,bottom
D3,47.595,-19.0,0.0,top
D30,248.485,-57.0,0.0,bottom
D31,267.405,-33.5,0.0,bottom
D32,267.215,-52.5,0.0,bottom
D33,267.215,-71.5,0.0,bottom
D34,286.405,-33.5,0.0,bottom
D35,286.405,-52.5,0.0,bottom
D36,286.405,-71.5,0.0,bottom
D37,88.465699,-81.520201,350.0,top
D38,108.842989,-88.904613,330.0,top
D39,125.290217,-102.641004,310.0,top
D4,66.595,-14.0,0.0,top
D40,171.815705,-102.753012,310.0,bottom
D41,187.769347,-89.007499,330.0,bottom
D42,207.953758,-81.401244,350.0,bottom
D5,85.095,-22.5,0.0,top
D6,104.785,-22.5,0.0,top
D7,9.095,-52.5,0.0,top
D8,28.595,-52.5,0.0,top
D9,47.285,-38.0,0.0,top
J1,148.730001,-110.728604,90.0,top
MX1,9.58,-29.0,0.0,top
MX10,66.5,-28.5,0.0,top
MX11,85.5,-37.0,0.0,top
MX12,104.58,-37.0,0.0,top
MX13,9.58,-67.0,0.0,top
MX14,28.5,-67.0,0.0,top
MX15,47.5,-52.5,0.0,top
MX16,66.5,-47.5,0.0,top
MX17,85.5,-56.0,0.0,top
MX18,104.58,-56.0,0.0,top
MX19,191.5,-18.0,0.0,top
MX2,28.58,-29.0,0.0,top
MX20,191.5,-37.0,0.0,top
MX21,191.5,-56.0,0.0,top
MX22,210.5,-18.0,0.0,top
MX23,210.5,-37.0,0.0,top
MX24,210.5,-56.0,0.0,top
MX25,229.5,-9.5,0.0,top
MX26,229.5,-28.5,0.0,top
MX27,229.5,-47.5,0.0,top
MX28,248.5,-14.5,0.0,top
MX29,248.5,-33.5,0.0,top
MX3,47.58,-14.5,0.0,top
MX30,248.5,-52.5,0.0,top
MX31,267.42,-29.0,0.0,top
MX32,267.42,-48.0,0.0,top
MX33,267.42,-67.0,0.0,top
MX34,286.42,-29.0,0.0,top
MX35,286.42,-48.0,0.0,top
MX36,286.5,-67.0,0.0,top
MX37,89.124014,-77.066861,350.0,top
MX38,111.08,-85.0,330.0,top
MX39,128.779201,-99.798253,310.0,top
MX4,66.58,-9.5,0.0,top
MX40,168.42957,-99.787694,50.0,top
MX41,185.5,-85.0,30.0,top
MX42,207.0,-77.0,10.0,top
MX5,85.58,-18.0,0.0,top
MX6,104.58,-18.0,0.0,top
MX7,9.5,-48.0,0.0,top
MX8,28.5,-48.0,0.0,top
MX9,47.5,-33.5,0.0,top
